# Input	DiseaseName	DiseaseID	GeneSymbol	GeneID	DiseaseCategories	DiseaseCategories	DirectEvidence	OmimIDs	PubMedIDs
d008659	17-Hydroxysteroid Dehydrogenase Deficiency	MESH:C537805	HSD17B3	3293	Congenital abnormality|Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Skin disease|Urogenital disease (female)|Urogenital disease (male)	Congenital abnormality|Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Skin disease|Urogenital disease (female)|Urogenital disease (male)	marker/mechanism	264300	25526675
d008659	Acidosis, Lactic	MESH:D000140	TRNL1	4567	Metabolic disease	Metabolic disease	marker/mechanism		17018649
d008659	Acidosis, Renal Tubular	MESH:D000141	SLC4A1	6521	Genetic disease (inborn)|Metabolic disease|Urogenital disease (female)|Urogenital disease (male)	Genetic disease (inborn)|Metabolic disease|Urogenital disease (female)|Urogenital disease (male)	marker/mechanism	179800	23460825|9312167
d008659	Acidosis, Renal Tubular	MESH:D000141	SLC4A4	8671	Genetic disease (inborn)|Metabolic disease|Urogenital disease (female)|Urogenital disease (male)	Genetic disease (inborn)|Metabolic disease|Urogenital disease (female)|Urogenital disease (male)	marker/mechanism		18614622
d008659	Acid Phosphatase Deficiency	MESH:C562645	ACP2	53	Genetic disease (inborn)|Metabolic disease	Genetic disease (inborn)|Metabolic disease	marker/mechanism	200950	
d008659	ACTH Deficiency, Isolated	MESH:C562707	TBX19	9095	Endocrine system disease|Genetic disease (inborn)|Metabolic disease	Endocrine system disease|Genetic disease (inborn)|Metabolic disease	marker/mechanism	201400	16390921
d008659	Acyl-CoA Dehydrogenase Family, Member 9, Deficiency of	MESH:C567006	ACAD9	28976	Cardiovascular disease|Genetic disease (inborn)|Metabolic disease|Musculoskeletal disease|Nervous system disease|Pathology (process)|Signs and symptoms	Cardiovascular disease|Genetic disease (inborn)|Metabolic disease|Musculoskeletal disease|Nervous system disease|Pathology (process)|Signs and symptoms	marker/mechanism	611126	
d008659	Adenine phosphoribosyltransferase deficiency	MESH:C538228	APRT	353	Genetic disease (inborn)|Metabolic disease|Urogenital disease (female)|Urogenital disease (male)	Genetic disease (inborn)|Metabolic disease|Urogenital disease (female)|Urogenital disease (male)	marker/mechanism	614723	
d008659	Adenosine monophosphate deaminase deficiency	MESH:C538234	AMPD1	270	Genetic disease (inborn)|Metabolic disease	Genetic disease (inborn)|Metabolic disease	marker/mechanism		10996775|11102975|1631143
d008659	Adenylosuccinate lyase deficiency	MESH:C538235	ADSL	158	Genetic disease (inborn)|Mental disorder|Metabolic disease	Genetic disease (inborn)|Mental disorder|Metabolic disease	marker/mechanism	103050	10888601|10958654|12833398
d008659	ADIPONECTIN, SERUM LEVEL OF, QUANTITATIVE TRAIT LOCUS 2	OMIM:606770	ADIPOQ	9370	Metabolic disease|Nutrition disorder|Signs and symptoms	Metabolic disease|Nutrition disorder|Signs and symptoms	marker/mechanism		11549668
d008659	ADIPONECTIN, SERUM LEVEL OF, QUANTITATIVE TRAIT LOCUS 2	OMIM:606770	ADIPQTL2	171511	Metabolic disease|Nutrition disorder|Signs and symptoms	Metabolic disease|Nutrition disorder|Signs and symptoms	marker/mechanism		11549668
d008659	ADIPONECTIN, SERUM LEVEL OF, QUANTITATIVE TRAIT LOCUS 3	OMIM:606771	ADIPOQ	9370	Metabolic disease|Nutrition disorder|Signs and symptoms	Metabolic disease|Nutrition disorder|Signs and symptoms	marker/mechanism		11549668
d008659	ADIPONECTIN, SERUM LEVEL OF, QUANTITATIVE TRAIT LOCUS 3	OMIM:606771	ADIPQTL3	171512	Metabolic disease|Nutrition disorder|Signs and symptoms	Metabolic disease|Nutrition disorder|Signs and symptoms	marker/mechanism		11549668
d008659	Adrenal hyperplasia 2	MESH:C538236	HSD3B2	3284	Congenital abnormality|Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Urogenital disease (female)|Urogenital disease (male)	Congenital abnormality|Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Urogenital disease (female)|Urogenital disease (male)	marker/mechanism	201810	
d008659	Adrenal Hyperplasia, Congenital	MESH:D000312	AVPR1A	552	Congenital abnormality|Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Urogenital disease (female)|Urogenital disease (male)	Congenital abnormality|Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Urogenital disease (female)|Urogenital disease (male)	marker/mechanism		17218722
d008659	Adrenal Hyperplasia, Congenital	MESH:D000312	AVPR2	554	Congenital abnormality|Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Urogenital disease (female)|Urogenital disease (male)	Congenital abnormality|Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Urogenital disease (female)|Urogenital disease (male)	marker/mechanism		17218722
d008659	Adrenal Hyperplasia, Congenital	MESH:D000312	CYP17A1	1586	Congenital abnormality|Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Urogenital disease (female)|Urogenital disease (male)	Congenital abnormality|Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Urogenital disease (female)|Urogenital disease (male)	marker/mechanism		18645707
d008659	Adrenal Hyperplasia, Congenital	MESH:D000312	CYP21A2	1589	Congenital abnormality|Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Urogenital disease (female)|Urogenital disease (male)	Congenital abnormality|Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Urogenital disease (female)|Urogenital disease (male)	marker/mechanism		16705555|18445671
d008659	Adrenal Hyperplasia, Congenital	MESH:D000312	HSD3B2	3284	Congenital abnormality|Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Urogenital disease (female)|Urogenital disease (male)	Congenital abnormality|Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Urogenital disease (female)|Urogenital disease (male)	marker/mechanism		18252794
d008659	Adrenal Hyperplasia, Congenital	MESH:D000312	HTR4	3360	Congenital abnormality|Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Urogenital disease (female)|Urogenital disease (male)	Congenital abnormality|Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Urogenital disease (female)|Urogenital disease (male)	marker/mechanism		17218722
d008659	Adrenal Hyperplasia, Congenital	MESH:D000312	PDE8B	8622	Congenital abnormality|Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Urogenital disease (female)|Urogenital disease (male)	Congenital abnormality|Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Urogenital disease (female)|Urogenital disease (male)	marker/mechanism		18272904
d008659	Adrenal Hyperplasia, Congenital	MESH:D000312	POR	5447	Congenital abnormality|Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Urogenital disease (female)|Urogenital disease (male)	Congenital abnormality|Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Urogenital disease (female)|Urogenital disease (male)	marker/mechanism		18559916
d008659	Adrenal Hyperplasia, Congenital	MESH:D000312	PRKAR1A	5573	Congenital abnormality|Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Urogenital disease (female)|Urogenital disease (male)	Congenital abnormality|Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Urogenital disease (female)|Urogenital disease (male)	marker/mechanism		15521956
d008659	Adrenal hyperplasia, congenital, type 5	MESH:C538237	CYP17A1	1586	Congenital abnormality|Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Urogenital disease (female)|Urogenital disease (male)	Congenital abnormality|Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Urogenital disease (female)|Urogenital disease (male)	marker/mechanism	202110	
d008659	Adrenoleukodystrophy	MESH:D000326	ABCD1	215	Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Nervous system disease	Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Nervous system disease	marker/mechanism	300100	16319717|17602313|22057157
d008659	Adrenoleukodystrophy	MESH:D000326	HMOX1	3162	Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Nervous system disease	Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Nervous system disease	marker/mechanism		16319717
d008659	Adrenoleukodystrophy	MESH:D000326	IFNG	3458	Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Nervous system disease	Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Nervous system disease	marker/mechanism		16319717
d008659	Adrenoleukodystrophy	MESH:D000326	PEX13	5194	Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Nervous system disease	Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Nervous system disease	marker/mechanism		10441568
d008659	Adrenoleukodystrophy	MESH:D000326	PEX26	55670	Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Nervous system disease	Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Nervous system disease	marker/mechanism		12851857
d008659	Adrenoleukodystrophy	MESH:D000326	SOD2	6648	Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Nervous system disease	Endocrine system disease|Genetic disease (inborn)|Metabolic disease|Nervous system disease	marker/mechanism		16319717
d008659	Adult-onset citrullinemia type 2	MESH:C538053	SLC25A13	10165	Genetic disease (inborn)|Metabolic disease|Nervous system disease	Genetic disease (inborn)|Metabolic disease|Nervous system disease	marker/mechanism	603471	16449956
d008659	Aland Island Eye Disease	MESH:C562664	CACNA1F	778	Eye disease|Genetic disease (inborn)|Metabolic disease|Skin disease	Eye disease|Genetic disease (inborn)|Metabolic disease|Skin disease	marker/mechanism	300600	
d008659	Albinism ocular late onset sensorineural deafness	MESH:C537043	MITF	4286	Ear-nose-throat disease|Eye disease|Genetic disease (inborn)|Metabolic disease|Nervous system disease|Signs and symptoms|Skin disease	Ear-nose-throat disease|Eye disease|Genetic disease (inborn)|Metabolic disease|Nervous system disease|Signs and symptoms|Skin disease	marker/mechanism	103470	
d008659	Albinism ocular late onset sensorineural deafness	MESH:C537043	TYR	7299	Ear-nose-throat disease|Eye disease|Genetic disease (inborn)|Metabolic disease|Nervous system disease|Signs and symptoms|Skin disease	Ear-nose-throat disease|Eye disease|Genetic disease (inborn)|Metabolic disease|Nervous system disease|Signs and symptoms|Skin disease	marker/mechanism	103470	
d008659	Albinism, Oculocutaneous	MESH:D016115	MITF	4286	Eye disease|Genetic disease (inborn)|Metabolic disease|Skin disease	Eye disease|Genetic disease (inborn)|Metabolic disease|Skin disease	marker/mechanism		9158138
d008659	Albinism, Oculocutaneous	MESH:D016115	TYR	7299	Eye disease|Genetic disease (inborn)|Metabolic disease|Skin disease	Eye disease|Genetic disease (inborn)|Metabolic disease|Skin disease	marker/mechanism		2511845|9158138
d008659	ALBINISM, OCULOCUTANEOUS, TYPE VII	OMIM:615179	LRMDA	83938	Eye disease|Genetic disease (inborn)|Metabolic disease|Skin disease	Eye disease|Genetic disease (inborn)|Metabolic disease|Skin disease	marker/mechanism	615179	
d008659	Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells	MESH:C538539	HPS1	3257	Blood disease|Eye disease|Genetic disease (inborn)|Metabolic disease|Skin disease	Blood disease|Eye disease|Genetic disease (inborn)|Metabolic disease|Skin disease	marker/mechanism	203300	
d008659	Albright's hereditary osteodystrophy	MESH:C537045	GNAS	2778	Genetic disease (inborn)|Metabolic disease|Musculoskeletal disease	Genetic disease (inborn)|Metabolic disease|Musculoskeletal disease	marker/mechanism		17299070|2109828|2122458|21823526
d008659	Alexander Disease	MESH:D038261	GFAP	2670	Genetic disease (inborn)|Metabolic disease|Nervous system disease	Genetic disease (inborn)|Metabolic disease|Nervous system disease	marker/mechanism	203450	
d008659	Alkalosis	MESH:D000471	AGT	183	Metabolic disease	Metabolic disease	therapeutic		7182184
d008659	Alkaptonuria	MESH:D000474	HGD	3081	Genetic disease (inborn)|Metabolic disease	Genetic disease (inborn)|Metabolic disease	marker/mechanism	203500	
d008659	alpha-Fetoprotein Deficiency	MESH:C566300	AFP	174	Genetic disease (inborn)|Metabolic disease	Genetic disease (inborn)|Metabolic disease	marker/mechanism	615969	
d008659	Alpha-ketoglutarate dehydrogenase deficiency	MESH:C536582	OGDH	4967	Genetic disease (inborn)|Metabolic disease	Genetic disease (inborn)|Metabolic disease	marker/mechanism	203740	
d008659	alpha-Mannosidosis	MESH:D008363	MAN2B1	4125	Genetic disease (inborn)|Metabolic disease	Genetic disease (inborn)|Metabolic disease	marker/mechanism	248500	
d008659	Alpha-Methylacyl-CoA Racemase Deficiency	MESH:C565768	AMACR	23600	Genetic disease (inborn)|Metabolic disease|Nervous system disease	Genetic disease (inborn)|Metabolic disease|Nervous system disease	marker/mechanism	614307	
d008659	Amino Acid Metabolism, Inborn Errors	MESH:D000592	AHCY	191	Genetic disease (inborn)|Metabolic disease	Genetic disease (inborn)|Metabolic disease	marker/mechanism		15024124
d008659	Amino Acid Metabolism, Inborn Errors	MESH:D000592	ALDH6A1	4329	Genetic disease (inborn)|Metabolic disease	Genetic disease (inborn)|Metabolic disease	marker/mechanism		10947204
d008659	Amino Acid Metabolism, Inborn Errors	MESH:D000592	ARG1	383	Genetic disease (inborn)|Metabolic disease	Genetic disease (inborn)|Metabolic disease	marker/mechanism		21239484
d008659	Amino Acid Metabolism, Inborn Errors	MESH:D000592	D2HGDH	728294	Genetic disease (inborn)|Metabolic disease	Genetic disease (inborn)|Metabolic disease	marker/mechanism		15609246
d008659	Amino Acid Metabolism, Inborn Errors	MESH:D000592	EIF2AK4	440275	Genetic disease (inborn)|Metabolic disease	Genetic disease (inborn)|Metabolic disease	marker/mechanism		21239484
d008659	Amino Acid Metabolism, Inborn Errors	MESH:D000592	GAMT	2593	Genetic disease (inborn)|Metabolic disease	Genetic disease (inborn)|Metabolic disease	marker/mechanism		15651030
d008659	Amino Acid Metabolism, Inborn Errors	MESH:D000592	GCLC	2729	Genetic disease (inborn)|Metabolic disease	Genetic disease (inborn)|Metabolic disease	marker/mechanism		10515893
d008659	Amino Acid Metabolism, Inborn Errors	MESH:D000592	MAT1A	4143	Genetic disease (inborn)|Metabolic disease	Genetic disease (inborn)|Metabolic disease	marker/mechanism		7560086|8770875
d008659	Amino Acid Metabolism, Inborn Errors	MESH:D000592	PRODH	5625	Genetic disease (inborn)|Metabolic disease	Genetic disease (inborn)|Metabolic disease	marker/mechanism		17412540
d008659	Amino Acid Metabolism, Inborn Errors	MESH:D000592	PSPH	5723	Genetic disease (inborn)|Metabolic disease	Genetic disease (inborn)|Metabolic disease	marker/mechanism		14673469
d008659	Amino Acid Metabolism, Inborn Errors	MESH:D000592	SECISBP2	79048	Genetic disease (inborn)|Metabolic disease	Genetic disease (inborn)|Metabolic disease	marker/mechanism		16228000
d008659	Amino Acid Metabolism, Inborn Errors	MESH:D000592	SLC7A7	9056	Genetic disease (inborn)|Metabolic disease	Genetic disease (inborn)|Metabolic disease	marker/mechanism		11544277
d008659	Amino Acid Metabolism, Inborn Errors	MESH:D000592	XPC	7508	Genetic disease (inborn)|Metabolic disease	Genetic disease (inborn)|Metabolic disease	marker/mechanism		9804340
d008659	Aminoacylase 1 deficiency	MESH:C538246	ACY1	95	Genetic disease (inborn)|Metabolic disease	Genetic disease (inborn)|Metabolic disease	marker/mechanism	609924	
d008659	Amyloid Neuropathies, Familial	MESH:D028227	TTR	7276	Genetic disease (inborn)|Metabolic disease|Nervous system disease	Genetic disease (inborn)|Metabolic disease|Nervous system disease	marker/mechanism		10529370|12707074|15469931|20030258
d008659	Amyloidosis	MESH:D000686	ACHE	43	Metabolic disease	Metabolic disease	marker/mechanism		23047022
d008659	Amyloidosis	MESH:D000686	APOE	348	Metabolic disease	Metabolic disease	marker/mechanism		15993987
d008659	Amyloidosis	MESH:D000686	APP	351	Metabolic disease	Metabolic disease	marker/mechanism		23541064
d008659	Amyloidosis	MESH:D000686	PSEN1	5663	Metabolic disease	Metabolic disease	marker/mechanism		23541064
d008659	Amyloidosis	MESH:D000686	TTR	7276	Metabolic disease	Metabolic disease	marker/mechanism		25595224
d008659	Amyloidosis	MESH:D000686	ZDHHC13	54503	Metabolic disease	Metabolic disease	marker/mechanism		20548961
d008659	Amyloidosis, Cerebroarterial, App-Related	MESH:C537944	APP	351	Cardiovascular disease|Genetic disease (inborn)|Metabolic disease|Nervous system disease	Cardiovascular disease|Genetic disease (inborn)|Metabolic disease|Nervous system disease	marker/mechanism	605714	10821838|2111584
d008659	Amyloidosis, Familial	MESH:D028226	FGA	2243	Genetic disease (inborn)|Metabolic disease	Genetic disease (inborn)|Metabolic disease	marker/mechanism		8097946|8639778
d008659	Amyloidosis, Familial	MESH:D028226	RET	5979	Genetic disease (inborn)|Metabolic disease	Genetic disease (inborn)|Metabolic disease	marker/mechanism		12864791
d008659	Amyloidosis, Familial	MESH:D028226	TTR	7276	Genetic disease (inborn)|Metabolic disease	Genetic disease (inborn)|Metabolic disease	marker/mechanism		17701470|18326041
d008659	Amyloidosis, familial visceral	MESH:C538249	APOA1	335	Genetic disease (inborn)|Metabolic disease	Genetic disease (inborn)|Metabolic disease	marker/mechanism	105200	
d008659	Amyloidosis, familial visceral	MESH:C538249	B2M	567	Genetic disease (inborn)|Metabolic disease	Genetic disease (inborn)|Metabolic disease	marker/mechanism	105200	
d008659	Amyloidosis, familial visceral	MESH:C538249	FGA	2243	Genetic disease (inborn)|Metabolic disease	Genetic disease (inborn)|Metabolic disease	marker/mechanism	105200	
d008659	Amyloidosis, familial visceral	MESH:C538249	LYZ	4069	Genetic disease (inborn)|Metabolic disease	Genetic disease (inborn)|Metabolic disease	marker/mechanism	105200	
d008659	Amyloidosis, Hereditary, Transthyretin-Related	MESH:C567782	TTR	7276	Genetic disease (inborn)|Metabolic disease|Nervous system disease	Genetic disease (inborn)|Metabolic disease|Nervous system disease	marker/mechanism	105210	
d008659	Amyloidosis IX	MESH:C562643	OSMR	9180	Genetic disease (inborn)|Metabolic disease|Skin disease	Genetic disease (inborn)|Metabolic disease|Skin disease	marker/mechanism	105250	
d008659	Amyloidosis, Primary Cutaneous	MESH:C562642	IL31RA	133396	Genetic disease (inborn)|Metabolic disease|Skin disease	Genetic disease (inborn)|Metabolic disease|Skin disease	marker/mechanism	613955	
d008659	Amyotrophic Lateral Sclerosis	MESH:D000690	ATXN2	6311	Metabolic disease|Nervous system disease	Metabolic disease|Nervous system disease	marker/mechanism		27377857
d008659	Amyotrophic Lateral Sclerosis	MESH:D000690	C9ORF72	203228	Metabolic disease|Nervous system disease	Metabolic disease|Nervous system disease	marker/mechanism		27713094
d008659	Amyotrophic Lateral Sclerosis	MESH:D000690	CAMK1G	57172	Metabolic disease|Nervous system disease	Metabolic disease|Nervous system disease	marker/mechanism		23624525
d008659	Amyotrophic Lateral Sclerosis	MESH:D000690	CD40LG	959	Metabolic disease|Nervous system disease	Metabolic disease|Nervous system disease	therapeutic		20348957
d008659	Amyotrophic Lateral Sclerosis	MESH:D000690	CFAP410	755	Metabolic disease|Nervous system disease	Metabolic disease|Nervous system disease	marker/mechanism		27455348
d008659	Amyotrophic Lateral Sclerosis	MESH:D000690	CHMP2B	25978	Metabolic disease|Nervous system disease	Metabolic disease|Nervous system disease	marker/mechanism		16807408
d008659	Amyotrophic Lateral Sclerosis	MESH:D000690	DBR1	51163	Metabolic disease|Nervous system disease	Metabolic disease|Nervous system disease	therapeutic		23104007
d008659	Amyotrophic Lateral Sclerosis	MESH:D000690	DPP6	1804	Metabolic disease|Nervous system disease	Metabolic disease|Nervous system disease	marker/mechanism		18084291
d008659	Amyotrophic Lateral Sclerosis	MESH:D000690	FUS	2521	Metabolic disease|Nervous system disease	Metabolic disease|Nervous system disease	marker/mechanism		30455313
d008659	Amyotrophic Lateral Sclerosis	MESH:D000690	GFAP	2670	Metabolic disease|Nervous system disease	Metabolic disease|Nervous system disease	marker/mechanism		11723166
d008659	Amyotrophic Lateral Sclerosis	MESH:D000690	GSR	2936	Metabolic disease|Nervous system disease	Metabolic disease|Nervous system disease	marker/mechanism		16681429
d008659	Amyotrophic Lateral Sclerosis	MESH:D000690	GSTP1	2950	Metabolic disease|Nervous system disease	Metabolic disease|Nervous system disease	marker/mechanism		16109392
d008659	Amyotrophic Lateral Sclerosis	MESH:D000690	MOBP	4336	Metabolic disease|Nervous system disease	Metabolic disease|Nervous system disease	marker/mechanism		27455348
d008659	Amyotrophic Lateral Sclerosis	MESH:D000690	NEK1	4750	Metabolic disease|Nervous system disease	Metabolic disease|Nervous system disease	marker/mechanism		26945885|27455347
d008659	Amyotrophic Lateral Sclerosis	MESH:D000690	OPTN	10133	Metabolic disease|Nervous system disease	Metabolic disease|Nervous system disease	marker/mechanism		21059646|25096716
