# Input	DiseaseName	DiseaseID	GeneSymbol	GeneID	DiseaseCategories	DiseaseCategories	DirectEvidence	OmimIDs	PubMedIDs
d044342	Starvation	MESH:D013217	TDO2	6999	Nutrition disorder	Nutrition disorder	marker/mechanism		7306070
d044342	Thiamine Deficiency	MESH:D013832	SERPINA1	5265	Nutrition disorder	Nutrition disorder	marker/mechanism		17659342
d044342	Thiamine responsive megaloblastic anemia syndrome	MESH:C536510	SLC19A2	10560	Blood disease|Ear-nose-throat disease|Endocrine system disease|Metabolic disease|Nervous system disease|Nutrition disorder|Signs and symptoms	Blood disease|Ear-nose-throat disease|Endocrine system disease|Metabolic disease|Nervous system disease|Nutrition disorder|Signs and symptoms	marker/mechanism	249270	
d044342	TRANSCOBALAMIN II DEFICIENCY	OMIM:275350	TCN2	6948	Nutrition disorder	Nutrition disorder	marker/mechanism	275350	
d044342	Vitamin A Deficiency	MESH:D014802	BMP4	652	Nutrition disorder	Nutrition disorder	marker/mechanism		16120438
d044342	Vitamin A Deficiency	MESH:D014802	LRAT	9227	Nutrition disorder	Nutrition disorder	marker/mechanism		16174770
d044342	Vitamin A Deficiency	MESH:D014802	PARP1	142	Nutrition disorder	Nutrition disorder	marker/mechanism		18676402
d044342	Vitamin A Deficiency	MESH:D014802	RBP4	5950	Nutrition disorder	Nutrition disorder	marker/mechanism		16157297
d044342	Vitamin A Deficiency	MESH:D014802	TGM1	7051	Nutrition disorder	Nutrition disorder	marker/mechanism		16146918
d044342	Vitamin B 12 Deficiency	MESH:D014806	ABCD4	5826	Nutrition disorder	Nutrition disorder	marker/mechanism		22922874
d044342	VITAMIN B12 PLASMA LEVEL QUANTITATIVE TRAIT LOCUS 1	OMIM:612542	FUT2	2524	Nutrition disorder	Nutrition disorder	marker/mechanism	612542	
d044342	Vitamin D Deficiency	MESH:D014808	LRP2	4036	Nutrition disorder	Nutrition disorder	marker/mechanism		10052453
d044342	Vitamin D Deficiency	MESH:D014808	VDR	7421	Nutrition disorder	Nutrition disorder	marker/mechanism		9525346
d044342	Vitamin D-Dependent Rickets, Type 2A	MESH:C562794	VDR	7421	Genetic disease (inborn)|Metabolic disease|Musculoskeletal disease|Nutrition disorder|Urogenital disease (female)|Urogenital disease (male)	Genetic disease (inborn)|Metabolic disease|Musculoskeletal disease|Nutrition disorder|Urogenital disease (female)|Urogenital disease (male)	marker/mechanism	277440	
d044342	Vitamin D Hydroxylation-Deficient Rickets, Type 1A	MESH:C562688	CYP27B1	1594	Genetic disease (inborn)|Metabolic disease|Musculoskeletal disease|Nutrition disorder|Urogenital disease (female)|Urogenital disease (male)	Genetic disease (inborn)|Metabolic disease|Musculoskeletal disease|Nutrition disorder|Urogenital disease (female)|Urogenital disease (male)	marker/mechanism	264700	
d044342	Vitamin D Hydroxylation-Deficient Rickets, Type 1B	MESH:C564005	CYP2R1	120227	Genetic disease (inborn)|Metabolic disease|Musculoskeletal disease|Nutrition disorder|Urogenital disease (female)|Urogenital disease (male)	Genetic disease (inborn)|Metabolic disease|Musculoskeletal disease|Nutrition disorder|Urogenital disease (female)|Urogenital disease (male)	marker/mechanism	600081	
d044342	Vitamin E Deficiency	MESH:D014811	TTPA	7274	Nutrition disorder	Nutrition disorder	marker/mechanism		11095717
d044342	Wernicke Encephalopathy	MESH:D014899	TKT	7086	Mental disorder|Metabolic disease|Nervous system disease|Nutrition disorder|Substance-related disorder	Mental disorder|Metabolic disease|Nervous system disease|Nutrition disorder|Substance-related disorder	marker/mechanism		3762968
